emotion,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU11,AU12,AU14,AU15,AU17,AU20,AU23,AU24,AU25,AU26,AU28,AU43
neutral,0.4216693,0.28915873,0.6535343,0.3631579,0.16928774,1.0,0.52055496,0.01077204,0.0,0.29075006,0.30939227,0.1228244,0.43864405,0.0,0.37965062,0.24712448,0.53623784,0.080847286,0.30476123,0.53081733
neutral,0.38522837,0.34973633,0.8222158,0.3054966,0.21205822,1.0,0.49923423,0.0074052815,0.0,0.27341422,0.41900787,0.36316288,0.5513309,1.0,0.46990448,0.37442967,0.2986041,0.08259955,0.41783154,0.85794353
neutral,0.4140777,0.34528556,0.13558753,0.26059523,0.28236666,0.0,0.4410622,0.25756106,0.0,0.13441393,0.45689625,0.5969861,0.55481344,0.0,0.2907719,0.5208342,0.08627749,0.10627016,0.698032,0.7479547
neutral,0.34584618,0.37235615,0.08202426,0.43636,0.09926734,0.0,0.10891047,0.0003402613,1.0,0.041314177,0.2033865,0.05806495,0.50098985,0.0,0.26133966,0.50791,0.05047277,0.1372002,0.09808997,0.059269182
neutral,0.45531437,0.49450123,0.16609092,0.5506041,0.06382477,0.0,0.10612932,0.0020797234,0.0,0.029987235,0.29848543,0.090413414,0.43964487,0.0,0.62964046,0.27202928,0.1801301,0.058700968,0.03014801,0.058617547
neutral,0.28418827,0.19117472,0.1617932,0.38797078,0.51440495,0.0,0.46919337,0.04156471,0.0,0.4799578,0.37566262,0.48911706,0.5321353,1.0,0.32756367,0.4195257,0.47292444,0.15109985,0.34354588,0.22080207
neutral,0.3828651,0.17715831,0.3539426,0.27239808,0.16227661,1.0,0.38390988,0.022615863,0.0,0.30951768,0.5681911,0.48691842,0.43054217,0.0,0.7549329,0.3712522,0.2272109,0.092322074,0.68188155,0.48920423
neutral,0.45797774,0.3752736,0.6912308,0.36485383,0.16546999,0.0,0.28290325,0.027964432,0.0,0.2417196,0.5837495,0.21365835,0.33573508,0.0,0.54215235,0.5036125,0.14004105,0.13394473,0.13674565,0.20478432
neutral,0.36841476,0.20024234,0.47997656,0.26519066,0.32889244,1.0,0.41578028,0.1419038,0.0,0.18809271,0.65780526,0.07840931,0.3755789,0.0,0.47205594,0.46205518,0.022433527,0.15258685,0.82808805,0.5796194
neutral,0.3481825,0.33067974,0.406996,0.29923153,0.2281806,1.0,0.32676563,0.023038289,0.0,0.10867185,0.22893567,0.10299945,0.47276816,0.0,0.26067278,0.1810132,0.74224615,0.21462813,0.5439409,0.6311797
neutral,0.3554175,0.2928507,0.20756081,0.35344315,0.111188285,1.0,0.27194074,0.17691953,1.0,0.054193474,0.6395589,0.80134225,0.45750013,0.0,0.43076438,0.5959395,0.02103334,0.04269397,0.26375285,0.13989568
neutral,0.34188703,0.2243542,0.2849041,0.3197464,0.19804901,1.0,0.34436768,0.014323001,0.0,0.22247182,0.1851345,0.22337155,0.47783482,0.0,0.4159437,0.49806643,0.22790541,0.080425546,0.34166643,0.15386702
neutral,0.49211407,0.4356234,0.15698701,0.41834542,0.16918239,0.0,0.12265983,0.0029178539,1.0,0.03989239,0.3410241,0.3610145,0.47735536,0.0,0.3870617,0.67324966,0.005550209,0.077493146,0.40764734,0.0469756
neutral,0.37352654,0.31239578,0.42659622,0.34966794,0.2372389,0.0,0.3587511,0.6355695,1.0,0.24899696,0.29484227,0.32983977,0.3419181,0.0,0.2796518,0.5109814,0.5961565,0.16908877,0.03535738,0.20553385
neutral,0.29380608,0.18950194,0.6012988,0.28368095,0.24817486,1.0,0.3848446,0.13739,1.0,0.119513765,0.35723275,0.20911683,0.45352024,0.0,0.35085678,0.48642674,0.012001158,0.2027004,0.42260152,0.46067753
neutral,0.27082577,0.15591092,0.24802971,0.2714402,0.5404229,1.0,0.47225326,0.93807805,0.0,0.60259706,0.5385048,0.759671,0.5561715,0.0,0.39955398,0.63825166,0.6311781,0.16312881,0.16742826,0.4159897
neutral,0.36839908,0.24254245,0.54135257,0.268698,0.46506608,1.0,0.5472557,0.69639194,0.0,0.4354252,0.5404216,0.53259754,0.49020627,0.0,0.36862308,0.77627516,0.010203818,0.06392458,0.3284649,0.20705304
neutral,0.34658843,0.35002494,0.60122365,0.2850065,0.5854373,1.0,0.7381357,0.8394238,0.0,0.6108663,0.7688993,0.27301708,0.5015963,0.0,0.63212276,0.5421143,0.0064660897,0.1880336,0.48092714,0.23911971
neutral,0.26621997,0.35338208,0.28516057,0.38809916,0.7412192,1.0,0.6004601,0.004300958,0.0,0.82092196,0.30338192,0.20129476,0.55973566,1.0,0.56956065,0.42196473,0.056629453,0.042043447,0.35732892,0.5437618
neutral,0.26231825,0.076787986,0.44906434,0.54477906,0.09622154,0.0,0.19403891,0.12809357,1.0,0.055521004,0.64203733,0.1578437,0.42562893,0.0,0.51975846,0.6258261,0.012682486,0.1251033,0.12669475,0.0295863
neutral,0.60017407,0.24542376,0.20058364,0.6131536,0.08653914,0.0,0.15122928,0.04070851,0.0,0.04749749,0.52223486,0.47300544,0.42714673,0.0,0.66317785,0.2393855,0.66249466,0.32458615,0.0582016,0.0940141
neutral,0.31203368,0.23829529,0.2718066,0.32370737,0.7624854,0.0,0.52310383,0.080407664,1.0,0.8837122,0.80052084,0.29434142,0.5740369,0.0,0.36565116,0.42020223,0.06554205,0.03920459,0.08640333,0.0719951
neutral,0.32997075,0.35728237,0.09403799,0.4478539,0.2175198,0.0,0.24541698,0.005866053,0.0,0.104516126,0.16835655,0.09498639,0.48401433,0.0,0.5896382,0.3748927,0.12463578,0.14567426,0.15868086,0.15185057
neutral,0.24983971,0.27065486,0.30577064,0.3603364,0.26002237,0.0,0.33616608,0.3105316,1.0,0.18668707,0.1989696,0.2648109,0.48707938,0.0,0.82243216,0.3071977,0.41000608,0.19845262,0.15319353,0.24422361
neutral,0.48375523,0.40065974,0.49205762,0.35505566,0.19315088,1.0,0.326446,0.48630887,1.0,0.26619908,0.28593662,0.2189003,0.4457225,0.0,0.6940627,0.6869766,0.43055138,0.08853053,0.14698273,0.22929133
neutral,0.3047795,0.23762399,0.7817415,0.24846394,0.19829017,0.0,0.38802022,0.095831804,0.0,0.21341464,0.280992,0.09864369,0.53111863,0.0,0.49840853,0.39501557,0.09368551,0.11808559,0.36934572,0.4109718
neutral,0.36298704,0.24686415,0.31882927,0.45821792,0.18776318,0.0,0.33042088,0.2569886,0.0,0.18847103,0.39942154,0.42901656,0.5000246,0.0,0.5008906,0.4025536,0.017229224,0.12772568,0.07808471,0.09628077
neutral,0.29058135,0.17110759,0.29745007,0.31691194,0.11797577,1.0,0.25361583,0.29356268,1.0,0.06604028,0.59407353,0.5444036,0.40419197,0.0,0.32717496,0.46875417,0.04500886,0.14923543,0.21516724,0.14234507
neutral,0.24144615,0.29559648,0.3801698,0.25979385,0.3391803,0.0,0.34592432,0.038766365,1.0,0.09650415,0.5830027,0.16275936,0.43024623,0.0,0.43091744,0.5653915,0.061420243,0.13900462,0.23436219,0.46234182
neutral,0.33726296,0.35405836,0.3086848,0.39514464,0.15273497,0.0,0.28492698,0.38167995,1.0,0.098544404,0.40302294,0.64073235,0.5077198,0.0,0.4187741,0.57645905,0.011426216,0.18288356,0.21542032,0.13395032
neutral,0.4069317,0.22936822,0.29522976,0.33874926,0.20912685,0.0,0.3859746,0.2322976,0.0,0.11819194,0.111875564,0.36104465,0.53598136,0.0,0.47974682,0.19081512,0.15591328,0.048412874,0.34800947,0.24948305
neutral,0.34130928,0.16679369,0.42250955,0.2609173,0.20930037,0.0,0.3744916,0.08214183,1.0,0.20176823,0.37655663,0.38827065,0.5004383,0.0,0.25340724,0.5039836,0.07294062,0.20525303,0.36376837,0.107457526
neutral,0.5123391,0.37785617,0.11927846,0.34586123,0.51405793,1.0,0.30495253,0.0065409383,0.0,0.28405115,0.43747193,0.16286604,0.5382999,0.0,0.5372685,0.3644719,0.3885271,0.28251886,0.30231023,0.4358433
neutral,0.26632565,0.21008946,0.12195141,0.4442313,0.20966128,0.0,0.221742,0.019303098,0.0,0.18078162,0.4697962,0.20164718,0.39821503,0.0,0.44923565,0.4072485,0.27201894,0.06032616,0.05475261,0.09435293
neutral,0.26786724,0.16276938,0.10827,0.31316283,0.327787,1.0,0.41761544,0.0011732784,0.0,0.42895088,0.37363327,0.17805022,0.45807377,0.0,0.5642699,0.22903544,0.4674144,0.06078218,0.33027077,0.3896032
neutral,0.22069253,0.15966743,0.18651862,0.29045913,0.3204972,0.0,0.34162715,0.008378643,0.0,0.065336354,0.27510583,0.070834994,0.52679735,0.0,0.3746015,0.20941655,0.004900325,0.08704403,0.116686754,0.18062516
neutral,0.27691117,0.23749426,0.39472148,0.24680018,0.4906654,0.0,0.38414386,0.24702182,0.0,0.521869,0.7603066,0.3140411,0.55880964,1.0,0.5348811,0.576642,0.0060538976,0.0909396,0.5950923,0.32624915
neutral,0.4112457,0.35297728,0.2662965,0.33105573,0.49544019,1.0,0.48588672,0.2229727,0.0,0.48610732,0.5621207,0.33456308,0.47677064,0.0,0.41252223,0.64291173,0.06282474,0.14919733,0.34961423,0.097421855
neutral,0.5738644,0.50898117,0.2796462,0.5086963,0.076495014,1.0,0.31967306,0.002774651,1.0,0.07895402,0.3219096,0.56176645,0.38670525,0.0,0.3663296,0.3434,0.03391073,0.1411065,0.19795424,0.21017477
neutral,0.17625652,0.16568746,0.47662887,0.26723066,0.5187765,1.0,0.44302535,0.06469211,0.0,0.48965845,0.51321226,0.1136521,0.46935388,0.0,0.4578708,0.65773416,0.015926184,0.086159304,0.46629274,0.43020666
neutral,0.31921014,0.21525538,0.19319049,0.467146,0.25998816,1.0,0.36191875,0.023131113,0.0,0.13496113,0.2693089,0.38811338,0.54488254,0.0,0.5418467,0.64244527,0.059470642,0.052127622,0.14697953,0.070013866
neutral,0.35000816,0.24958281,0.35356408,0.29702866,0.5715844,0.0,0.515671,0.11045773,0.0,0.6968979,0.6770329,0.35005087,0.50128615,0.0,0.7082239,0.32775447,0.51288146,0.082422115,0.14156093,0.61600035
